ID	NUMBER	CHINESE_GLOSS	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	NOTE
693	693	低	347	adjectives	appearance, situation	一、形状、情况	形容詞	low; to lower, hang, bend, bow	-
694	694	矮	348	adjectives	appearance, situation	一、形状、情况	形容詞	short, dwarf; low	-
695	695	长	348	adjectives	appearance, situation	一、形状、情况	形容詞	long; length; excel in; leader	-
696	696	短	349	adjectives	appearance, situation	一、形状、情况	形容詞	short; brief; deficient, lacking	-
697	697	粗	349	adjectives	appearance, situation	一、形状、情况	形容詞	rough, thick, course; rude	-
698	698	細	350	adjectives	appearance, situation	一、形状、情况	形容詞	fine, tiny; slender, thin	-
699	699	宽	350	adjectives	appearance, situation	一、形状、情况	形容詞	broad, wide; spacious, vast	-
700	700	窄	351	adjectives	appearance, situation	一、形状、情况	形容詞	narrow, tight; narrow-minded	-
701	701	厚	351	adjectives	appearance, situation	一、形状、情况	形容詞	thick; substantial; greatly	-
702	702	薄	352	adjectives	appearance, situation	一、形状、情况	形容詞	thin, slight, weak; poor, stingy	-
703	703	深	352	adjectives	appearance, situation	一、形状、情况	形容詞	deep; depth; far; very, extreme	-
704	704	浅	353	adjectives	appearance, situation	一、形状、情况	形容詞	shallow, not deep; superficial	-
705	705	空	353	adjectives	appearance, situation	一、形状、情况	形容詞	empty, hollow, bare, deserted	-
706	706	滿	354	adjectives	appearance, situation	一、形状、情况	形容詞	fill; full, satisfied	-
707	707	方	354	adjectives	appearance, situation	一、形状、情况	形容詞	a square, rectangle; a region; local	-
708	708	圓	355	adjectives	appearance, situation	一、形状、情况	形容詞	circle; round, circular; complete	-
709	709	平	355	adjectives	appearance, situation	一、形状、情况	形容詞	flat, level, even; peaceful	-
710	710	正	356	adjectives	appearance, situation	一、形状、情况	形容詞	right, proper, correct	-
711	711	反	356	adjectives	appearance, situation	一、形状、情况	形容詞	reverse, opposite, contrary, anti	-
712	712	歪	357	adjectives	appearance, situation	一、形状、情况	形容詞	slant; inclined; askewd, awry	-
713	713	横	357	adjectives	appearance, situation	一、形状、情况	形容詞	across	-
714	714	竪	358	adjectives	appearance, situation	一、形状、情况	形容詞	perpendicular, vertical; erect	-
715	715	直	358	adjectives	appearance, situation	一、形状、情况	形容詞	straight, erect, vertical	-
716	716	斜	359	adjectives	appearance, situation	一、形状、情况	形容詞	slanting, sloping, inclined	-
717	717	陡	359	adjectives	appearance, situation	一、形状、情况	形容詞	steep, sloping; abruptly, sudden	-
718	718	弯	360	adjectives	appearance, situation	一、形状、情况	形容詞	bend, curve	-
719	719	亮	360	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
720	720	暗	361	adjectives	appearance, situation	一、形状、情况	形容詞	dark; obscure; in secret, covert	-
721	721	黑	361	adjectives	appearance, situation	一、形状、情况	形容詞	black; dark; evil, sinister	-
722	722	輕	362	adjectives	appearance, situation	一、形状、情况	形容詞	light; easy, simple; gentle	-
723	723	重	362	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
724	724	干	363	adjectives	appearance, situation	一、形状、情况	形容詞	oppose, offend; invade; dried	-
725	725	湿	363	adjectives	appearance, situation	一、形状、情况	形容詞	?	-
726	726	稠	364	adjectives	appearance, situation	一、形状、情况	形容詞	dense, crowded, packed; soupy	-
727	727	釅	364	adjectives	appearance, situation	一、形状、情况	形容詞	?	-
728	728	稀	365	adjectives	appearance, situation	一、形状、情况	形容詞	rare, unusual, scarce; sparse	-
729	729	硬	365	adjectives	appearance, situation	一、形状、情况	形容詞	hard, firm, strong; obstinate	-
730	730	軟	366	adjectives	appearance, situation	一、形状、情况	形容詞	soft, flexible, pliable; weak	-
731	731	老(不嫩）	366	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
732	732	嫩	367	adjectives	appearance, situation	一、形状、情况	形容詞	soft, tender, delicate; young	-
733	733	脆	367	adjectives	appearance, situation	一、形状、情况	形容詞	crisp; fragile, frail; brittle	-
734	734	結实	368	adjectives	appearance, situation	一、形状、情况	形容詞	bear fruit // stout	-
735	735	生（不熟）	368	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
736	736	整齐	369	adjectives	appearance, situation	一、形状、情况	形容詞	tidy;neat // put in order // even;regular // integral // reorganize	-
737	737	乱	369	adjectives	appearance, situation	一、形状、情况	形容詞	confusion, state of chaos, revolt	-
738	738	破	370	adjectives	appearance, situation	一、形状、情况	形容詞	break, ruin, destroy; rout	-
739	739	干淨	370	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
740	740	骯髒	371	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
741	741	热鬧	371	adjectives	appearance, situation	一、形状、情况	形容詞	bustling with activity // fun // lively // have a jolly time	-
742	742	淸楚	372	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
743	743	模糊	372	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
744	744	渾	373	adjectives	appearance, situation	一、形状、情况	形容詞	muddy, turbid; blend, merge, mix	-
745	745	快(鋒利）	373	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
746	746	快(迅速）	374	adjectives	appearance, situation	一、形状、情况	形容詞	-	-
747	747	早	374	adjectives	appearance, situation	一、形状、情况	形容詞	early; soon; morning	-
748	748	晚	375	adjectives	appearance, situation	一、形状、情况	形容詞	night, evening; late	-
749	749	好	375	adjectives	character	二、性质	形容詞	good, excellent, fine; well	-
750	750	坏	376	adjectives	character	二、性质	形容詞	rotten, spoilt, bad, broken down	-
751	751	差	376	adjectives	character	二、性质	形容詞	to differ; different, wrong; nearly, almost; an officer	-
752	752	难	377	adjectives	character	二、性质	形容詞	difficult, arduous, hard; unable	-
753	753	容易	377	adjectives	character	二、性质	形容詞	easily // lightly // sweetly	-
754	754	貴	378	adjectives	character	二、性质	形容詞	expensive, costly, valuable	-
755	755	便宜	378	adjectives	character	二、性质	形容詞	convenient // small advantages // let sb. off lightly // cheap	-
756	756	热	379	adjectives	physiological perception	三、生理感觉	形容詞	hot; heat; fever; restless; zeal	-
757	757	冷	379	adjectives	physiological perception	三、生理感觉	形容詞	cold, cool; lonely	-
758	758	烫	380	adjectives	physiological perception	三、生理感觉	形容詞	scald, heat; wash; iron clothes	-
759	759	暧和	380	adjectives	physiological perception	三、生理感觉	形容詞	-	-
760	760	溫	381	adjectives	physiological perception	三、生理感觉	形容詞	lukewarm	-
761	761	凉	381	adjectives	physiological perception	三、生理感觉	形容詞	cool, cold; disheartened	-
762	762	香	382	adjectives	physiological perception	三、生理感觉	形容詞	fragrant, sweet smelling, incense	-
763	763	臭	382	adjectives	physiological perception	三、生理感觉	形容詞	smell, stink, emit foul odor	-
764	764	餿	383	adjectives	physiological perception	三、生理感觉	形容詞	spoiled, rotten, stale, rancid	-
765	765	咸	383	adjectives	physiological perception	三、生理感觉	形容詞	together; all, completely; united	-
766	766	淡	384	adjectives	physiological perception	三、生理感觉	形容詞	calm, quiet, tranquil	-
767	767	餓	384	adjectives	physiological perception	三、生理感觉	形容詞	hungry; greedy for; hunger	-
768	768	渴	385	adjectives	physiological perception	三、生理感觉	形容詞	thirsty, parched; yearn, pine	-
769	769	累	385	adjectives	physiological perception	三、生理感觉	形容詞	tired; implicate, involve; bother	-
770	770	痒	386	adjectives	physiological perception	三、生理感觉	形容詞	itch	-
771	771	舒服	386	adjectives	physiological perception	三、生理感觉	形容詞	be well // please;comfortable;gratifying // satisfy	-
772	772	忙	387	adjectives	physiological perception	三、生理感觉	形容詞	busy, pressed for time; hustling	-
773	773	闲	387	adjectives	physiological perception	三、生理感觉	形容詞	fence, guard; defend; idle time	-
774	774	胖	388	adjectives	describing body appearance	四、形貌体态	形容詞	fat, obese; fatty	-
775	775	肥	388	adjectives	describing body appearance	四、形貌体态	形容詞	fat, plump, obese; fertile	-
776	776	瘦	389	adjectives	describing body appearance	四、形貌体态	形容詞	thin, emaciated, lean; meager	-
777	777	老（不年輕）	389	adjectives	describing body appearance	四、形貌体态	形容詞	-	-
778	778	年輕	390	adjectives	describing body appearance	四、形貌体态	形容詞	young	-
779	779	好看、漂亮	390	adjectives	describing body appearance	四、形貌体态	形容詞	-	-
780	780	难看、丑	391	adjectives	describing body appearance	四、形貌体态	形容詞	-	-
781	781	强壮	391	adjectives	describing body appearance	四、形貌体态	形容詞	strong;sturdy // powerful // middle age	-
782	782	傻	392	adjectives	behavior	五、品性、行为	形容詞	foolish, silly, stupid; an imbecile	-
783	783	老实	392	adjectives	behavior	五、品性、行为	形容詞	honest // frank // well-behaved // simpleminded;naive;easily taken in	-
784	784	狡猾	393	adjectives	behavior	五、品性、行为	形容詞	crafty	-
785	785	直爽	393	adjectives	behavior	五、品性、行为	形容詞	forth right;frank	-
786	786	大方	394	adjectives	behavior	五、品性、行为	形容詞	expert // generous // natural and posied // decent // general principle;great truth	-
787	787	小气	394	adjectives	behavior	五、品性、行为	形容詞	stingy;mean;nigardly;tight-fisted;narrow-minded pelly	-
788	788	骄傲	395	adjectives	behavior	五、品性、行为	形容詞	-	-
789	789	謙虚	395	adjectives	behavior	五、品性、行为	形容詞	modest // make modest remarks	-
790	790	乖	396	adjectives	behavior	五、品性、行为	形容詞	rebel; crafty, shrewd	-
791	791	顽皮	396	adjectives	behavior	五、品性、行为	形容詞	mischievous;naughty // cunning and stubborn // hard shell	-
792	792	勤快	397	adjectives	behavior	五、品性、行为	形容詞	diligent;hardworking	-
793	793	懒	397	adjectives	behavior	五、品性、行为	形容詞	lazy, languid, listless	-
794	794	能干	398	adjectives	behavior	五、品性、行为	形容詞	able;capable;know one's job well	-
795	795	內行	398	adjectives	behavior	五、品性、行为	形容詞	adept;expert	-
796	796	外行	399	adjectives	behavior	五、品性、行为	形容詞	philistine;ignoramus // layman;greenhorn // one who is out of one's line // lay;unprofessional	-
797	797	髙兴	399	adjectives	mood	六、心理感受	形容詞	-	-
798	798	合意	400	adjectives	mood	六、心理感受	形容詞	suit;be to one's liking	-
799	799	煩恼	400	adjectives	mood	六、心理感受	形容詞	be vexed;be worried;be annoyed;be irritated // bother;disturb	-
800	800	可怜	401	adjectives	mood	六、心理感受	形容詞	pity;have pity on // it's a pity // pitiful;pitiable // meagre;miserable	-
801	801	倒霉	401	adjectives	mood	六、心理感受	形容詞	have bad luck // woe	-
802	802	奇怪	402	adjectives	mood	六、心理感受	形容詞	odd;queer;strange // unusual person or thing // wonder	-
803	803	害怕	402	adjectives	mood	六、心理感受	形容詞	be afraid of ;be scared	-
804	804	害羞	403	adjectives	mood	六、心理感受	形容詞	be bashful;be shy	-
805	805	我	403	pronounss	personal	一、人称代詞	代 詞	our, us, i, me, my, we	-
806	806	你	404	pronounss	personal	一、人称代詞	代 詞	you, second person pronoun	-
807	807	他	404	pronounss	personal	一、人称代詞	代 詞	other, another; he, she, it	-
808	808	我們	405	pronounss	personal	一、人称代詞	代 詞	we;us	-
809	809	咱們	405	pronounss	personal	一、人称代詞	代 詞	-	-
810	810	你們	406	pronounss	personal	一、人称代詞	代 詞	you	-
811	811	他們	406	pronounss	personal	一、人称代詞	代 詞	they	-
812	812	大家	407	pronounss	personal	一、人称代詞	代 詞	woman;husband's mother // everybody // all // we // you // they // other people // family of high ranking official // great master // master // Your Majesty // polymath	-
813	813	自己	407	pronounss	personal	一、人称代詞	代 詞	oneself;self // own;one's own	-
814	814	人家	408	pronounss	personal	一、人称代詞	代 詞	household // man's world // other;other people // him(her,them) // I;me	-
815	815	我的	408	pronounss	possessive	二、物主代詞	代 詞	-	-
816	816	你的	409	pronounss	possessive	二、物主代詞	代 詞	-	-
817	817	他的	409	pronounss	possessive	二、物主代詞	代 詞	-	-
818	818	別的	410	pronounss	possessive	二、物主代詞	代 詞	-	-
819	819	这个	410	pronounss	demonstrative	三、指示代詞	代 詞	this // such	-
820	820	那个	411	pronounss	demonstrative	三、指示代詞	代 詞	that // that	-
821	821	这些	411	pronounss	demonstrative	三、指示代詞	代 詞	these	-
822	822	那些	412	pronounss	demonstrative	三、指示代詞	代 詞	those // so much // so many	-
823	823	这儿	412	pronounss	demonstrative	三、指示代詞	代 詞	here	-
824	824	那儿	413	pronounss	demonstrative	三、指示代詞	代 詞	-	-
825	825	这边	413	pronounss	demonstrative	三、指示代詞	代 詞	this side // here	-
826	826	那边	414	pronounss	demonstrative	三、指示代詞	代 詞	there;over there	-
827	827	这么	414	pronounss	demonstrative	三、指示代詞	代 詞	so // like that // this way	-
828	828	那么	415	pronounss	demonstrative	三、指示代詞	代 詞	that // then	-
829	829	誰	415	pronounss	interrogative	四、疑問代詞	代 詞	who? whom? whose? anyone?	-
830	830	什么	416	pronounss	interrogative	四、疑問代詞	代 詞	what // whatever // nothing // anything	-
831	831	哪个	416	pronounss	interrogative	四、疑問代詞	代 詞	what;which // who	-
832	832	哪儿	417	pronounss	interrogative	四、疑問代詞	代 詞	-	-
833	833	哪边	417	pronounss	interrogative	四、疑問代詞	代 詞	-	-
834	834	怎么	418	pronounss	interrogative	四、疑問代詞	代 詞	how // what // however // somewhat // how could	-
835	835	多么	418	pronounss	interrogative	四、疑問代詞	代 詞	how	-
836	836	多少	419	pronounss	interrogative	四、疑問代詞	代 詞	how much // so much // somewhat // how many	-
837	837	多久	419	pronounss	interrogative	四、疑問代詞	代 詞	how long time	-
838	838	一个人	420	classifiers	nominal	一、物量詞	量 詞	-	-
839	839	一头牛	420	classifiers	nominal	一、物量詞	量 詞	-	-
840	840	一只鸡	421	classifiers	nominal	一、物量詞	量 詞	-	-
841	841	一条魚	421	classifiers	nominal	一、物量詞	量 詞	-	-
842	842	一棵树	422	classifiers	nominal	一、物量詞	量 詞	-	-
843	843	一瓶酒	425	classifiers	nominal	一、物量詞	量 詞	-	-
844	844	一丛草	422	classifiers	nominal	一、物量詞	量 詞	-	-
845	845	一朵花儿	423	classifiers	nominal	一、物量詞	量 詞	-	-
846	846	一串葡萄	423	classifiers	nominal	一、物量詞	量 詞	-	-
847	847	一頓飯	424	classifiers	nominal	一、物量詞	量 詞	-	-
848	848	一支烟	424	classifiers	nominal	一、物量詞	量 詞	-	-
849	849	一口水	425	classifiers	nominal	一、物量詞	量 詞	-	-
850	850	一套衣服	426	classifiers	nominal	一、物量詞	量 詞	-	-
851	851	一双鞋	426	classifiers	nominal	一、物量詞	量 詞	-	-
852	852	一条被子	427	classifiers	nominal	一、物量詞	量 詞	-	-
853	853	一顶帐子	427	classifiers	nominal	一、物量詞	量 詞	-	-
854	854	一把刀	428	classifiers	nominal	一、物量詞	量 詞	-	-
855	855	一根針	428	classifiers	nominal	一、物量詞	量 詞	-	-
856	856	一座房子	429	classifiers	nominal	一、物量詞	量 詞	-	-
857	857	一座桥	429	classifiers	nominal	一、物量詞	量 詞	-	-
858	858	一扇門	430	classifiers	nominal	一、物量詞	量 詞	-	-
859	859	一辆車	430	classifiers	nominal	一、物量詞	量 詞	-	-
860	860	一只船	431	classifiers	nominal	一、物量詞	量 詞	-	-
861	861	一件事情	431	classifiers	nominal	一、物量詞	量 詞	-	-
862	862	一笔生意	432	classifiers	nominal	一、物量詞	量 詞	-	-
863	863	逼(看一遍）	432	classifiers	verbal	二、动量詞	量 詞	-	-
864	864	次（这一次）	433	classifiers	verbal	二、动量詞	量 詞	-	-
865	865	趟(走一趟）	433	classifiers	verbal	二、动量詞	量 詞	-	-
866	866	頓(打一頓）	434	classifiers	verbal	二、动量詞	量 詞	-	-
867	867	下(打一下）	434	classifiers	verbal	二、动量詞	量 詞	-	-
868	868	从前	435	classifiers	verbal	二、动量詞	副 詞	formerly;before // once	-
869	869	刚才	435	classifiers	verbal	二、动量詞	副 詞	just a short while ago;a moment ago;just now	-
870	870	现在	436	classifiers	verbal	二、动量詞	副 詞	exist;alive // now;at present;today	-
871	871	一向	437	classifiers	verbal	二、动量詞	副 詞	lately on // all along;consistently // earlier on;lately	-
872	872	預先	437	classifiers	verbal	二、动量詞	副 詞	in advance;beforehand // up front	-
873	873	巳經	438	classifiers	verbal	二、动量詞	副 詞	-	-
874	874	常常	438	classifiers	verbal	二、动量詞	副 詞	often;frequently;usually	-
875	875	赶快	439	classifiers	verbal	二、动量詞	副 詞	lose no time;proceed apace;hasten // haste	-
876	876	馬上	439	classifiers	verbal	二、动量詞	副 詞	immediately;right off // on horseback	-
877	877	很	440	classifiers	verbal	二、动量詞	副 詞	very, quite, much	-
878	878	更	440	classifiers	verbal	二、动量詞	副 詞	more, still further, much more	-
879	879	最	441	classifiers	verbal	二、动量詞	副 詞	most, extremely, exceedingly	-
880	880	太	441	classifiers	verbal	二、动量詞	副 詞	very, too, much; big; extreme	-
881	881	稍微	442	classifiers	verbal	二、动量詞	副 詞	a little;a bit;a trifle	-
882	882	恰巧	442	classifiers	verbal	二、动量詞	副 詞	happen to // by chance	-
883	883	都	443	classifiers	verbal	二、动量詞	副 詞	metropolis, capital; all, the whole; elegant, refined	-
884	884	統統	443	classifiers	verbal	二、动量詞	副 詞	wholly;completely;entirely	-
885	885	一起	444	classifiers	verbal	二、动量詞	副 詞	together // in the same place // in company // altogether;in all // a band	-
886	886	又	444	classifiers	verbal	二、动量詞	副 詞	and, also, again, in addition	-
887	887	再	445	classifiers	verbal	二、动量詞	副 詞	again, twice, re-	-
888	888	仍旧	445	classifiers	verbal	二、动量詞	副 詞	still;yet	-
889	889	反正	446	classifiers	verbal	二、动量詞	副 詞	anyhow // return to the right way // come over from the enemy&rsquo;s side	-
890	890	大約	446	classifiers	verbal	二、动量詞	副 詞	about // probably	-
891	891	一定	447	classifiers	verbal	二、动量詞	副 詞	fixed;specified;regular // definite;constant // surely;certainly;necessarily // given;particular;certain	-
892	892	不	447	classifiers	verbal	二、动量詞	副 詞	no, not; un-; negative prefix	-
893	893	沒〔有〕(未）	448	classifiers	verbal	二、动量詞	副 詞	-	-
894	894	別	448	classifiers	verbal	二、动量詞	副 詞	separate, other; do not	-
895	895	不用	449	classifiers	verbal	二、动量詞	副 詞	need not	-
896	896	把	449	classifiers	verbal	二、动量詞	介詞、連詞	hold, take; guard; regard as	-
897	897	被	450	classifiers	verbal	二、动量詞	介詞、連詞	passive indicator 'by'; bedding	-
898	898	替	450	classifiers	verbal	二、动量詞	介詞、連詞	change, replace, substitute for	-
899	899	在	451	classifiers	verbal	二、动量詞	介詞、連詞	be at, in, on; consist in, rest	-
900	900	从	451	classifiers	verbal	二、动量詞	介詞、連詞	from, by, since, whence, through	-
901	901	到	452	classifiers	verbal	二、动量詞	介詞、連詞	go to, arrive, been to	-
902	902	向	452	classifiers	verbal	二、动量詞	介詞、連詞	toward, direction, trend	-
903	903	和	453	classifiers	verbal	二、动量詞	介詞、連詞	harmony, peace; peaceful, calm	-
904	904	如果	453	classifiers	verbal	二、动量詞	介詞、連詞	if	-
